City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
237,237,Hilo,19.7297,-155.09,70.25,91,63,1.01,US,2022-03-08 05:47:41,Hilo Hawaiian Hotel
239,239,Saint-Louis,16.3333,-15.0,67.37,19,84,10.89,SN,2022-03-08 05:47:46,
241,241,Dingle,10.9995,122.6711,85.84,65,67,12.75,PH,2022-03-08 05:47:47,SEGAYA PROPERTY
242,242,Monrovia,6.3005,-10.7969,76.77,93,18,4.83,LR,2022-03-08 05:47:47,Sunset Inn
243,243,Young,-32.6833,-57.6333,60.22,74,59,7.47,UY,2022-03-08 05:47:48,Posada Gira el Sol
246,246,Dunedin,-45.8742,170.5036,63.81,72,13,8.01,NZ,2022-03-08 05:47:39,Scenic Hotel Southern Cross
247,247,Arraial Do Cabo,-22.9661,-42.0278,76.23,89,56,20.09,BR,2022-03-08 05:47:50,Pousada Porto Praia
248,248,Te Anau,-45.4167,167.7167,66.56,62,40,7.02,NZ,2022-03-08 05:47:50,Kingsgate Hotel Te Anau
251,251,Lamu,-2.2717,40.902,82.62,71,17,10.31,KE,2022-03-08 05:47:52,Lamu House
254,254,Kloulklubed,7.0419,134.2556,84.7,76,40,10.09,PW,2022-03-08 05:47:53,Storyboard Beach Resort
256,256,Tolaga Bay,-38.3667,178.3,66.4,73,26,5.86,NZ,2022-03-08 05:47:54,Tolaga Bay Motel
259,259,Moyale,3.5167,39.0584,75.94,42,3,7.45,KE,2022-03-08 05:47:56,La Tahzan Guest House
260,260,Bambous Virieux,-20.3428,57.7575,82.22,89,75,3.44,MU,2022-03-08 05:47:56,Casa Tia Villa
261,261,Port Blair,11.6667,92.75,87.84,62,75,4.61,IN,2022-03-08 05:47:57,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
263,263,Kaitangata,-46.2817,169.8464,62.96,81,29,5.21,NZ,2022-03-08 05:47:59,Kaitangata Motor Camp
264,264,Mahibadhoo,3.7833,72.9667,81.63,71,87,7.94,MV,2022-03-08 05:48:00,Omadhoo Inn
266,266,Pedasi,7.5333,-80.0333,76.06,86,38,11.77,PA,2022-03-08 05:48:01,Selina Pedasi
267,267,Jumla,29.2747,82.1838,62.38,14,5,4.05,NP,2022-03-08 05:48:02,Royal Garden Hotel
269,269,Champerico,14.3,-91.9167,84.34,74,34,10.29,GT,2022-03-08 05:48:03,"Hotel y restaurante ""El Diamante"""
271,271,Faanui,-16.4833,-151.75,82.08,73,96,14.72,PF,2022-03-08 05:48:04,Bora-Bora Pearl Beach Resort & Spa
274,274,Ciudad Bolivar,8.1222,-63.5497,75.43,79,94,10.54,VE,2022-03-08 05:44:33,Hotel Edi
275,275,Eydhafushi,5.1033,73.0708,81.7,73,85,8.37,MV,2022-03-08 05:48:06,Soneva Fushi
276,276,Davila,18.4726,120.5763,85.98,76,57,29.1,PH,2022-03-08 05:49:07,Blue Ridge Beach Resort
281,281,Luanda,-8.8368,13.2343,78.8,83,75,4.61,AO,2022-03-08 05:49:10,EPIC SANA Luanda
283,283,Soyo,-6.1349,12.3689,79.88,83,100,4.59,AO,2022-03-08 05:49:11,Hotel Mpampa
284,284,Manacapuru,-3.2997,-60.6206,73.98,96,100,4.0,BR,2022-03-08 05:49:12,Novo Hotel
285,285,Pukhrayan,26.2333,79.85,87.42,17,75,8.01,IN,2022-03-08 05:49:12,Raj Guest House And Restaurant.
287,287,Namikupa,-10.8333,39.6,77.56,87,82,1.03,TZ,2022-03-08 05:49:13,
289,289,Ippy,6.2679,21.2247,80.73,43,100,3.13,CF,2022-03-08 05:49:14,
290,290,Byron Bay,-28.65,153.6167,86.05,58,12,2.57,AU,2022-03-08 05:49:14,Backpackers Inn
292,292,Carutapera,-1.195,-46.02,75.18,94,100,4.61,BR,2022-03-08 05:49:15,Lidera
294,294,Nouadhibou,20.931,-17.0347,60.78,67,75,27.63,MR,2022-03-08 05:49:16,El Medina
295,295,Bathurst,-33.4166,149.5806,68.83,87,100,12.8,AU,2022-03-08 05:46:20,Bathurst Motor Inn
296,296,Chuy,-33.6971,-53.4616,62.51,80,99,5.93,UY,2022-03-08 05:49:17,Nuevo Hotel Plaza
297,297,Mar Del Plata,-38.0023,-57.5575,62.1,82,0,8.05,AR,2022-03-08 05:49:11,Gran Hotel Mar del Plata
301,301,Maragogi,-9.0122,-35.2225,75.13,84,37,4.25,BR,2022-03-08 05:49:19,Salinas do Maragogi All Inclusive Resort
302,302,Gondar,12.6,37.4667,73.35,20,89,3.06,ET,2022-03-08 05:49:20,L Shape Hotel
